1, 27.8, 1.099978E+01
2, 35.4, 1.099851E+01
3, 39.2, 1.055909E+01
4, 50.1, 1.002996E+01
5, 37.3, 9.787382E+00
6, 31.1, 9.641534E+00
7, 44.2, 9.556938E+00
8, 41.2, 9.375484E+00
9, 50.1, 9.234859E+00
10, 47.1, 8.994737E+00
11, 41.7, 8.754326E+00
12, 49.0, 8.597212E+00
13, 44.6, 8.379040E+00
14, 37.9, 8.198639E+00
15, 48.3, 7.997529E+00
16, 55.1, 7.862135E+00
17, 22.1, 7.701878E+00
18, 48.4, 7.661686E+00
19, 51.0, 7.512312E+00
20, 46.7, 7.420421E+00
21, 41.1, 7.333179E+00
22, 33.1, 7.229782E+00
23, 40.7, 7.099669E+00
24, 43.1, 7.057137E+00
25, 36.9, 7.124556E+00
26, 41.8, 7.016108E+00
27, 38.7, 6.858879E+00
28, 42.3, 6.907221E+00
29, 40.7, 6.911322E+00
30, 41.0, 6.864487E+00
31, 40.5, 6.710539E+00
32, 43.3, 6.614327E+00
33, 41.8, 6.681074E+00
34, 43.3, 6.601491E+00
35, 43.3, 6.565820E+00
36, 46.4, 6.472690E+00
37, 71.3, 6.493351E+00
38, 44.9, 6.394130E+00
39, 49.0, 6.412896E+00
40, 43.5, 6.410200E+00
41, 44.7, 6.237490E+00
42, 50.2, 6.247344E+00
43, 48.6, 6.280450E+00
44, 46.3, 6.101050E+00
45, 42.3, 6.181517E+00
46, 48.5, 6.148337E+00
47, 41.1, 6.079410E+00
48, 44.7, 6.132308E+00
49, 48.3, 6.024070E+00
50, 52.5, 6.002402E+00
