"Name","Created","Runtime","Hostname","Notes","GPU Type","GPU Count","State","Tags","cuda_graph_impl","enable_cuda_graph","encoder_num_layers","ffn_hidden_size","hidden_size","kv_channels","micro_batch_size","num_attention_heads","num_layers","num_query_groups","overlap_grad_reduce","overlap_param_gather","slurm_job_name","te_rng_tracker","wandb_save_dir"
"throughput-8b-4n-2419541","2026-05-28T20:50:52.000Z","1389","nid007447","-","NVIDIA GH200 120GB","4","finished","","none","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-4n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-4n"
"throughput-8b-1n-2419587","2026-05-28T20:50:49.000Z","1234","nid006236","-","NVIDIA GH200 120GB","4","finished","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2419537","2026-05-28T20:50:20.000Z","1225","nid007001","-","NVIDIA GH200 120GB","4","finished","","none","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2412330","2026-05-28T00:10:07.000Z","1717","nid007551","-","NVIDIA GH200 120GB","4","finished","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2412308","2026-05-27T22:52:07.000Z","840","nid007544","-","NVIDIA GH200 120GB","4","crashed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2412257","2026-05-27T22:32:53.000Z","1111","nid007536","-","NVIDIA GH200 120GB","4","crashed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2412215","2026-05-27T22:25:08.000Z","31","nid007366","-","NVIDIA GH200 120GB","4","failed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2412179","2026-05-27T22:19:16.000Z","35","nid006050","-","NVIDIA GH200 120GB","4","failed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2412072","2026-05-27T22:09:39.000Z","94","nid006696","-","NVIDIA GH200 120GB","4","failed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2412007","2026-05-27T21:57:12.000Z","93","nid006191","-","NVIDIA GH200 120GB","4","failed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
