"Name","Created","Runtime","Hostname","Notes","GPU Type","GPU Count","State","Tags","cuda_graph_impl","enable_cuda_graph","encoder_num_layers","ffn_hidden_size","hidden_size","kv_channels","micro_batch_size","num_attention_heads","num_layers","num_query_groups","overlap_grad_reduce","overlap_param_gather","slurm_job_name","te_rng_tracker","wandb_save_dir"
"throughput-760m-1n-2422288","2026-05-29T10:36:04.000Z","1387","nid007425","-","NVIDIA GH200 120GB","4","finished","","none","false","24","4096","1536","96","4","16","24","4","true","true","gipfel-throughput-760m-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-760m-1n"
"throughput-1.5b-1n-2422289","2026-05-29T10:35:58.000Z","1393","nid007438","-","NVIDIA GH200 120GB","4","finished","","none","false","48","4352","1600","80","4","20","48","4","true","true","gipfel-throughput-1.5b-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-1.5b-1n"
"throughput-8b-1n-2421264","2026-05-29T08:33:24.000Z","1250","nid007576","-","NVIDIA GH200 120GB","4","finished","submission","local","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-3b-1n-2421263","2026-05-29T08:31:51.000Z","674","nid007429","-","NVIDIA GH200 120GB","4","finished","submission","local","false","32","8192","3072","128","4","24","32","8","true","true","gipfel-throughput-3b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-3b-1n"
"throughput-1.5b-1n-2421262","2026-05-29T08:29:50.000Z","404","nid006694","-","NVIDIA GH200 120GB","4","finished","submission","local","false","48","4352","1600","80","4","20","48","4","true","true","gipfel-throughput-1.5b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-1.5b-1n"
"throughput-350m-1n-2421260","2026-05-29T08:27:52.000Z","174","nid007429","-","NVIDIA GH200 120GB","4","finished","submission","local","false","24","2816","1024","64","8","16","24","4","true","true","gipfel-throughput-350m-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-350m-1n"
"throughput-760m-1n-2421261","2026-05-29T08:27:48.000Z","296","nid007458","-","NVIDIA GH200 120GB","4","finished","submission","local","false","24","4096","1536","96","4","16","24","4","true","true","gipfel-throughput-760m-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-760m-1n"
"throughput-3b-1n-2421248","2026-05-29T08:26:58.000Z","679","nid006139","-","NVIDIA GH200 120GB","4","finished","submission","none","false","32","8192","3072","128","4","24","32","8","true","true","gipfel-throughput-3b-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-3b-1n"
"throughput-8b-1n-2421249","2026-05-29T08:26:52.000Z","1272","nid006671","-","NVIDIA GH200 120GB","4","finished","submission","none","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-125m-1n-2421259","2026-05-29T08:26:49.000Z","99","nid007616","-","NVIDIA GH200 120GB","4","finished","submission","local","false","12","2048","768","64","16","12","12","4","true","true","gipfel-throughput-125m-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-125m-1n"
"throughput-1.5b-1n-2421247","2026-05-29T08:24:51.000Z","402","nid007576","-","NVIDIA GH200 120GB","4","finished","submission","none","false","48","4352","1600","80","4","20","48","4","true","true","gipfel-throughput-1.5b-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-1.5b-1n"
"throughput-760m-1n-2421246","2026-05-29T08:23:52.000Z","311","nid007626","-","NVIDIA GH200 120GB","4","finished","submission","none","false","24","4096","1536","96","4","16","24","4","true","true","gipfel-throughput-760m-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-760m-1n"
"throughput-350m-1n-2421245","2026-05-29T08:23:27.000Z","302","nid006694","-","NVIDIA GH200 120GB","4","finished","submission","none","false","24","2816","1024","64","8","16","24","4","true","true","gipfel-throughput-350m-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-350m-1n"
"throughput-125m-1n-2421244","2026-05-29T08:20:49.000Z","300","nid007616","-","NVIDIA GH200 120GB","4","finished","submission","none","false","12","2048","768","64","16","12","12","4","true","true","gipfel-throughput-125m-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-125m-1n"
"throughput-8b-1n-2421219","2026-05-29T08:20:46.000Z","1299","nid006720","-","NVIDIA GH200 120GB","4","finished","submission","local","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-1.5b-1n-2421216","2026-05-29T08:16:15.000Z","429","nid007576","-","NVIDIA GH200 120GB","4","finished","submission","local","false","48","4352","1600","80","4","20","48","4","true","true","gipfel-throughput-1.5b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-1.5b-1n"
"throughput-3b-1n-2421217","2026-05-29T08:16:12.000Z","687","nid007603","-","NVIDIA GH200 120GB","4","finished","submission","local","false","32","8192","3072","128","4","24","32","8","true","true","gipfel-throughput-3b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-3b-1n"
"throughput-760m-1n-2421215","2026-05-29T08:06:42.000Z","270","nid007603","-","NVIDIA GH200 120GB","4","finished","submission","local","false","24","4096","1536","96","4","16","24","4","true","true","gipfel-throughput-760m-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-760m-1n"
"throughput-350m-1n-2421214","2026-05-29T08:06:41.000Z","270","nid006814","-","NVIDIA GH200 120GB","4","finished","submission","local","false","24","2816","1024","64","8","16","24","4","true","true","gipfel-throughput-350m-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-350m-1n"
"throughput-125m-1n-2421213","2026-05-29T08:04:41.000Z","328","nid007031","-","NVIDIA GH200 120GB","4","finished","submission","local","false","12","2048","768","64","16","12","12","4","true","true","gipfel-throughput-125m-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-125m-1n"
