1, 55.1, 1.104073E+01
2, 72.9, 1.104064E+01
3, 87.0, 1.026213E+01
4, 85.3, 9.802773E+00
5, 96.8, 9.946551E+00
6, 108.4, 9.570879E+00
7, 110.2, 9.312381E+00
8, 117.6, 9.185322E+00
9, 102.5, 8.987085E+00
10, 133.1, 8.767570E+00
11, 120.6, 8.496101E+00
12, 110.2, 8.290128E+00
13, 99.1, 8.042331E+00
14, 124.8, 7.914509E+00
15, 102.5, 7.754001E+00
16, 108.8, 7.639024E+00
17, 103.2, 8.875008E+00
18, 117.8, 7.590271E+00
19, 118.1, 7.470002E+00
20, 119.3, 7.441514E+00
21, 105.4, 7.406275E+00
22, 89.5, 7.398531E+00
23, 99.8, 7.355047E+00
24, 96.7, 7.356465E+00
25, 102.2, 7.453730E+00
26, 113.6, 7.384382E+00
27, 109.6, 7.273118E+00
28, 98.7, 7.275661E+00
29, 87.7, 7.296096E+00
30, 93.0, 7.263790E+00
31, 120.2, 7.150379E+00
32, 105.6, 7.075178E+00
33, 81.7, 7.130173E+00
34, 105.5, 7.077218E+00
35, 121.7, 7.037024E+00
36, 111.3, 6.945109E+00
37, 123.0, 6.999562E+00
38, 118.2, 6.919013E+00
39, 117.8, 6.942963E+00
40, 108.3, 6.940842E+00
41, 121.4, 6.726372E+00
42, 91.5, 6.761062E+00
43, 95.1, 6.794921E+00
44, 96.8, 6.615070E+00
45, 110.6, 6.686235E+00
46, 121.7, 6.640479E+00
47, 122.5, 6.594827E+00
48, 120.4, 6.623068E+00
49, 112.5, 6.490557E+00
50, 119.8, 6.457741E+00
