1, 26.3, 1.099977E+01
2, 40.4, 1.099850E+01
3, 139.6, 1.055945E+01
4, 147.8, 1.003002E+01
5, 125.3, 9.787302E+00
6, 157.3, 9.641937E+00
7, 142.6, 9.556752E+00
8, 162.1, 9.374527E+00
9, 108.2, 9.236307E+00
10, 160.9, 8.995371E+00
11, 140.8, 8.752542E+00
12, 141.2, 8.595900E+00
13, 133.7, 8.378485E+00
14, 81.7, 8.198269E+00
15, 161.6, 7.995230E+00
16, 188.7, 7.860459E+00
17, 169.6, 7.702375E+00
18, 186.4, 7.661944E+00
19, 162.4, 7.513905E+00
20, 211.4, 7.424032E+00
21, 144.7, 7.334355E+00
22, 140.7, 7.233681E+00
23, 181.3, 7.098257E+00
24, 152.3, 7.071163E+00
25, 137.5, 7.202668E+00
26, 197.6, 7.037005E+00
27, 154.5, 6.887038E+00
28, 127.9, 6.889554E+00
29, 184.8, 6.904272E+00
30, 153.7, 6.853327E+00
31, 160.3, 6.703883E+00
32, 185.4, 6.606929E+00
33, 143.0, 6.674792E+00
34, 155.6, 6.617095E+00
35, 154.5, 6.570112E+00
36, 171.4, 6.482768E+00
37, 151.1, 6.505430E+00
38, 137.8, 6.394211E+00
39, 101.9, 6.423675E+00
40, 119.1, 6.445577E+00
41, 174.5, 6.255847E+00
42, 131.2, 6.277038E+00
43, 121.1, 6.307820E+00
44, 140.6, 6.127131E+00
45, 153.4, 6.221644E+00
46, 146.6, 6.174962E+00
47, 138.8, 6.118474E+00
48, 142.6, 6.160963E+00
49, 210.7, 6.047976E+00
50, 123.6, 6.015637E+00
